Date,New Cases
10/16/20,5682
10/15/20,4615
10/14/20,4564
10/13/20,5050
10/12/20,2384
10/11/20,2262
10/10/20,4046
10/9/20,3650
10/8/20,3786
10/7/20,3776
10/6/20,3872
10/5/20,2192
10/4/20,2181
10/3/20,3346
10/2/20,2729
10/1/20,3234
9/30/20,5335
9/29/20,3812
9/28/20,1412
9/27/20,1292
9/26/20,3283
9/25/20,3306
9/24/20,3720
9/23/20,2977
9/22/20,3964
9/21/20,1742
9/20/20,2241
9/19/20,3433
9/18/20,3978
9/17/20,3518
9/16/20,3409
9/15/20,4816
9/14/20,2554
9/13/20,1840
9/12/20,3905
9/11/20,3397
9/10/20,3852
9/9/20,4285
9/8/20,1416
9/7/20,2057
9/6/20,2800
9/5/20,4456
9/4/20,4215
9/3/20,3899
9/2/20,4157
9/1/20,4129
8/31/20,2374
8/30/20,3824
8/29/20,4732
8/28/20,3972
8/27/20,5059
8/26/20,5045
8/25/20,6346
8/24/20,2754
8/23/20,3493
8/22/20,4943
8/21/20,4651
8/20/20,4923
8/19/20,6474
8/18/20,7282
8/17/20,2713
8/16/20,6204
8/15/20,8245
8/14/20,7018
8/13/20,6755
8/12/20,6200
8/11/20,8913
8/10/20,4455
8/9/20,4879
8/8/20,6959
8/7/20,7039
8/6/20,7598
8/5/20,8706
8/4/20,9167
8/3/20,5839
8/2/20,6226
8/1/20,9539
7/31/20,8839
7/30/20,8800
7/29/20,9042
7/28/20,8342
7/27/20,4267
7/26/20,5810
7/25/20,8112
7/24/20,8701
7/23/20,9507
7/22/20,9879
7/21/20,9305
7/20/20,7404
7/19/20,7300
7/18/20,10158
7/17/20,10256
7/16/20,10291
7/15/20,10791
7/14/20,10745
7/13/20,5655
7/12/20,8196
7/11/20,10351
7/10/20,9765
7/9/20,9782
7/8/20,9979
7/7/20,10028
7/6/20,5318
7/5/20,3449
7/4/20,8258
7/3/20,7555
7/2/20,7915
7/1/20,8076
6/30/20,6975
6/29/20,4288
6/28/20,5357
6/27/20,5742
6/26/20,5707
6/25/20,5996
6/24/20,5551
6/23/20,5489
6/22/20,3280
6/21/20,3866
6/20/20,4430
6/19/20,3454
6/18/20,3516
6/17/20,3129
6/16/20,4098
6/15/20,1254
6/14/20,1843
6/13/20,2331
6/12/20,2097
6/11/20,1826
6/10/20,2504
6/9/20,1637
6/8/20,638
6/7/20,1425
6/6/20,1940
6/5/20,1693
6/4/20,1649
6/3/20,1703
6/2/20,1688
6/1/20,593
5/31/20,1949
5/30/20,1332
5/29/20,1230
5/28/20,1855
5/27/20,1361
5/26/20,589
5/25/20,623
5/24/20,839
5/23/20,1060
5/22/20,1181
5/21/20,945
5/20/20,1411
5/19/20,1219
5/18/20,909
5/17/20,785
5/16/20,1801
5/15/20,1347
5/14/20,1448
5/13/20,1355
5/12/20,1179
5/11/20,1000
5/10/20,1009
5/9/20,1251
5/8/20,1219
5/7/20,968
5/6/20,1053
5/5/20,1037
5/4/20,784
5/3/20,1026
5/2/20,1293
5/1/20,1142
4/30/20,1033
4/29/20,883
4/28/20,874
4/27/20,666
4/26/20,858
4/25/20,967
4/24/20,862
4/23/20,875
4/22/20,873
4/21/20,738
4/20/20,535
4/19/20,663
4/18/20,889
4/17/20,916
4/16/20,963
4/15/20,868
4/14/20,718
4/13/20,422
4/12/20,923
4/11/20,890
4/10/20,1441
4/9/20,877
4/8/20,1092
4/7/20,988
4/6/20,480
4/5/20,681
4/4/20,788
4/3/20,659
4/2/20,669
4/1/20,730
3/31/20,392
3/30/20,322
3/29/20,504
3/28/20,317
3/27/20,337
3/26/20,419
3/25/20,263
3/24/20,425
3/23/20,24
3/22/20,28
3/21/20,60
3/20/20,67
3/19/20,26
3/18/20,19
3/17/20,7
3/16/20,0
3/15/20,34
3/14/20,0
3/13/20,0
3/12/20,4
3/11/20,3
3/10/20,3
3/9/20,7
3/8/20,0
3/7/20,0
3/6/20,5
3/5/20,0
3/4/20,0
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,