"DateTime","USA"
"2020-03-02 23:51:40",34
"2020-03-17 23:51:40",41
"2020-03-23 23:51:40",52
"2020-03-30 23:51:40",60
"2020-04-06 23:51:40",60
"2020-04-13 23:51:40",59
"2020-04-20 23:51:40",60
"2020-04-27 23:51:40",57
"2020-05-26 23:51:40",55
"2020-06-01 23:51:40",54
"2020-06-08 23:51:40",50
"2020-06-15 23:51:40",55
"2020-06-22 23:51:40",55
"2020-07-06 23:51:40",58
"2020-07-14 23:51:40",58
"2020-07-20 23:51:40",58
"2020-07-27 23:51:40",58
"2020-08-03 23:51:40",57
"2020-08-07 23:51:40",48
"2020-08-10 23:51:40",63
"2020-08-17 23:51:40",59
"2020-08-21 23:51:40",49
"2020-08-25 23:51:40",59
"2020-09-01 23:51:40",57
"2020-09-08 23:51:40",55
"2020-09-14 23:51:40",56
"2020-09-18 23:51:40",46
"2020-09-21 23:51:40",58
"2020-09-28 23:51:40",55
"2020-10-06 23:51:40",60
"2020-10-12 23:51:40",57